batch_id,timestamp,machine_id,product_line,temperature,pressure,cycle_time,vibration,quality_measurement,defect_rate,temperature_tolerance,pressure_tolerance,cycle_time_tolerance,vibration_tolerance,operator_shift,operator_id,raw_material_batch,ambient_temperature,energy_consumption,maintenance_days,production_speed,actual_status,final_outcome,temperature_tolerance_distance,temperature_limit_utilization_pct,pressure_tolerance_distance,pressure_limit_utilization_pct,cycle_time_tolerance_distance,cycle_time_limit_utilization_pct,vibration_tolerance_distance,vibration_limit_utilization_pct,temperature_rolling_mean,temperature_rolling_std,temperature_rolling_z,temperature_drift_flag,pressure_rolling_mean,pressure_rolling_std,pressure_rolling_z,pressure_drift_flag,cycle_time_rolling_mean,cycle_time_rolling_std,cycle_time_rolling_z,cycle_time_drift_flag,vibration_rolling_mean,vibration_rolling_std,vibration_rolling_z,vibration_drift_flag,_sequence,temperature_rolling_variance,temperature_deviation,pressure_rolling_variance,pressure_deviation,cycle_time_rolling_variance,cycle_time_deviation,vibration_rolling_variance,vibration_deviation,temperature_change,temperature_pct_change,temperature_baseline_pct_change,pressure_change,pressure_pct_change,pressure_baseline_pct_change,cycle_time_change,cycle_time_pct_change,cycle_time_baseline_pct_change,vibration_change,vibration_pct_change,vibration_baseline_pct_change,temperature_tolerance_utilization_pct,temperature_near_limit,pressure_tolerance_utilization_pct,pressure_near_limit,cycle_time_tolerance_utilization_pct,cycle_time_near_limit,vibration_tolerance_utilization_pct,vibration_near_limit,quality_change,quality_pct_change,quality_rolling_mean,defect_rate_change,defect_rate_pct_change,defect_rate_rolling_mean,temperature_z_signal,pressure_z_signal,cycle_time_z_signal,vibration_z_signal,temperature_tolerance_signal,pressure_tolerance_signal,cycle_time_tolerance_signal,vibration_tolerance_signal,temperature_mean_shift,temperature_directional_signal,pressure_mean_shift,pressure_directional_signal,cycle_time_mean_shift,cycle_time_directional_signal,vibration_mean_shift,vibration_directional_signal,defect_signal,quality_signal,temperature_drift_score,pressure_drift_score,cycle_time_drift_score,vibration_drift_score,process_drift_score,drift_score,detected_status,isolation_forest_anomaly,isolation_forest_score
1,2026-01-01 00:00:00,M-01,Line-B,71.423,97.377,42.459,2.265,50.593,1.186,78.0,108.0,49.0,3.3,Shift-A,OP-005,RM-0003,24.33,84.31,22.0,96.74,Stable,Accepted,6.576999999999998,91.56794871794872,10.623000000000005,90.16388888888888,6.540999999999997,86.65102040816328,1.0349999999999997,68.63636363636364,,,,False,,,,False,,,,False,,,,False,0,,,,,,,,,,,,,,,,,,,,,91.56794871794872,True,90.16388888888888,True,86.65102040816328,False,68.63636363636364,False,,,,,,,0,0,0,0,1,1,0,0,,0,,0,,0,,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.13333333333333333,Stable,0,-0.049976234093925154
2,2026-01-01 00:15:00,M-05,Line-C,71.973,96.388,40.726,1.602,49.548,0.853,78.0,108.0,49.0,3.3,Shift-A,OP-004,RM-0129,25.44,82.98,16.0,100.18,Stable,Accepted,6.027000000000001,92.27307692307691,11.611999999999997,89.24814814814816,8.274000000000001,83.11428571428571,1.6979999999999995,48.54545454545456,,,,False,,,,False,,,,False,,,,False,1,,,,,,,,,0.5499999999999972,0.770060064685052,,-0.98899999999999,-1.015640243589333,,-1.733000000000004,-4.081584587484411,,-0.663,-29.271523178807943,,92.27307692307691,True,89.24814814814816,False,83.11428571428571,False,48.54545454545456,False,-1.0450000000000017,-2.06550313284447,,-0.3329999999999999,-28.07757166947723,,0,0,0,0,1,0,0,0,,0,,0,,0,,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.06666666666666667,Stable,1,0.02808753598875846
3,2026-01-01 00:30:00,M-04,Line-A,68.516,99.486,40.815,1.706,50.771,0.822,78.0,108.0,49.0,3.3,Shift-A,OP-015,RM-0142,24.52,87.97,100.0,102.74,Stable,Accepted,9.483999999999996,87.84102564102565,8.513999999999996,92.11666666666667,8.185000000000002,83.29591836734693,1.594,51.696969696969695,,,,False,,,,False,,,,False,,,,False,2,,,,,,,,,-3.4569999999999936,-4.803190085170817,,3.097999999999999,3.2140930406274526,,0.0889999999999986,0.2185336148897487,,0.1039999999999998,6.4918851435705305,,87.84102564102565,False,92.11666666666667,True,83.29591836734693,False,51.696969696969695,False,1.222999999999999,2.468313554532986,,-0.031,-3.634232121922632,,0,0,0,0,0,1,0,0,,0,,0,,0,,0,0,0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.06666666666666667,Stable,0,-0.0631310666287267
4,2026-01-01 00:45:00,M-03,Line-B,71.973,102.006,43.145,1.656,48.955,1.538,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0040,26.5,78.13,70.0,93.86,Stable,Accepted,6.027000000000001,92.27307692307691,5.994,94.45,5.854999999999997,88.05102040816327,1.644,50.18181818181818,,,,False,,,,False,,,,False,,,,False,3,,,,,,,,,3.4569999999999936,5.0455368089205255,,2.519999999999996,2.533019721367835,,2.3300000000000054,5.708685532279811,,-0.05,-2.9308323563892125,,92.27307692307691,True,94.45,True,88.05102040816327,False,50.18181818181818,False,-1.8160000000000025,-3.5768450493391946,,0.7160000000000001,87.10462287104623,,0,0,0,0,1,1,0,0,,0,,0,,0,,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.23333333333333334,Stable,0,-0.04886525686856885
5,2026-01-01 01:00:00,M-03,Line-B,69.668,102.013,41.02,1.918,50.698,0.552,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0026,24.99,86.87,88.0,104.41,Stable,Accepted,8.331999999999994,89.31794871794872,5.986999999999995,94.45648148148148,7.979999999999997,83.71428571428572,1.382,58.12121212121212,,,,False,,,,False,,,,False,,,,False,4,,,,,,,,,-2.3049999999999926,-3.2025898600864133,,0.007000000000005,0.0068623414309021,,-2.125,-4.925252057017038,,0.262,15.821256038647348,,89.31794871794872,False,94.45648148148148,True,83.71428571428572,False,58.12121212121212,False,1.743000000000002,3.560412623838216,,-0.986,-64.10923276983095,,0,0,0,0,0,1,0,0,,0,,0,,0,,0,0,0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.06666666666666667,Stable,0,-0.09405254532035728
6,2026-01-01 01:15:00,M-06,Line-C,68.309,102.547,39.31,1.496,48.941,1.023,78.0,108.0,49.0,3.3,Shift-A,OP-022,RM-0114,24.14,86.32,38.0,104.66,Stable,Accepted,9.691000000000004,87.57564102564103,5.453000000000003,94.95092592592592,9.689999999999998,80.22448979591837,1.804,45.333333333333336,,,,False,,,,False,,,,False,,,,False,5,,,,,,,,,-1.3590000000000089,-1.950680369753699,,0.5339999999999918,0.5234626959309097,,-1.7100000000000009,-4.168698196001952,,-0.4219999999999999,-22.00208550573513,,87.57564102564103,False,94.95092592592592,True,80.22448979591837,False,45.333333333333336,False,-1.756999999999998,-3.4656199455599834,,0.4709999999999998,85.3260869565217,,0,0,0,0,0,1,0,0,,0,,0,,0,,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.16666666666666669,Stable,1,0.0810979180957131
7,2026-01-01 01:30:00,M-01,Line-D,70.578,100.668,41.439,1.668,51.249,0.763,78.0,108.0,49.0,3.3,Shift-A,OP-010,RM-0095,25.65,86.48,44.0,105.38,Stable,Accepted,7.421999999999997,90.48461538461538,7.331999999999994,93.21111111111112,7.561,84.56938775510204,1.632,50.54545454545455,,,,False,,,,False,,,,False,,,,False,6,,,,,,,,,2.269000000000005,3.3216706436926424,,-1.878999999999991,-1.832330541117721,,2.128999999999998,5.415924701093866,,0.1719999999999999,11.49732620320856,,90.48461538461538,True,93.21111111111112,True,84.56938775510204,False,50.54545454545455,False,2.308,4.715882388999004,,-0.2599999999999999,-25.415444770283468,,0,0,0,0,1,1,0,0,,0,,0,,0,,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.13333333333333333,Stable,0,-0.08779694455482245
8,2026-01-01 01:45:00,M-05,Line-D,69.336,100.24,42.885,1.783,52.605,0.949,78.0,108.0,49.0,3.3,Shift-A,OP-017,RM-0014,26.21,87.89,34.0,95.75,Stable,Accepted,8.664000000000001,88.8923076923077,7.760000000000005,92.8148148148148,6.115000000000002,87.5204081632653,1.517,54.03030303030303,,,,False,,,,False,,,,False,,,,False,7,,,,,,,,,-1.2420000000000044,-1.7597551644988552,,-0.4280000000000115,-0.4251599316565491,,1.445999999999998,3.489466444653577,,0.1149999999999999,6.8944844124700255,,88.8923076923077,False,92.8148148148148,True,87.5204081632653,False,54.03030303030303,False,1.3559999999999943,2.6459052859567844,,0.1859999999999999,24.37745740498034,,0,0,0,0,0,1,0,0,,0,,0,,0,,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.16666666666666669,Stable,0,-0.09531548351970887
9,2026-01-01 02:00:00,M-02,Line-C,71.605,100.06,42.7,1.677,49.578,0.674,78.0,108.0,49.0,3.3,Shift-A,OP-006,RM-0106,25.4,87.09,13.0,99.12,Stable,Accepted,6.394999999999996,91.80128205128206,7.939999999999998,92.64814814814817,6.299999999999997,87.14285714285714,1.6229999999999998,50.81818181818182,,,,False,,,,False,,,,False,,,,False,8,,,,,,,,,2.269000000000005,3.2724702896042457,,-0.1799999999999926,-0.1795690343176281,,-0.1849999999999951,-0.4313862655940248,,-0.1059999999999998,-5.945036455412223,,91.80128205128206,True,92.64814814814817,True,87.14285714285714,False,50.81818181818182,False,-3.026999999999994,-5.754205873966345,,-0.2749999999999999,-28.97787144362486,,0,0,0,0,1,1,0,0,,0,,0,,0,,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.13333333333333333,Stable,0,-0.07067148688994934
10,2026-01-01 02:15:00,M-01,Line-C,70.204,99.329,43.134,2.038,50.107,0.725,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0097,24.92,83.33,15.0,96.49,Stable,Accepted,7.7960000000000065,90.00512820512819,8.671000000000006,91.97129629629627,5.866,88.02857142857144,1.262,61.75757575757576,,,,False,,,,False,,,,False,,,,False,9,,,,,,,,,-1.4010000000000105,-1.9565672788213304,,-0.7310000000000088,-0.7305616630022049,,0.4339999999999975,1.0163934426229426,,0.3609999999999997,21.526535480023835,,90.00512820512819,True,91.97129629629627,True,88.02857142857144,False,61.75757575757576,False,0.5289999999999964,1.0670055266448708,,0.0509999999999999,7.566765578635004,,0,0,0,0,1,1,0,0,,0,,0,,0,,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.13333333333333333,Stable,0,-0.10329066017632471
